Timestamp,median-confirmation-time
2009-01-09 23:00:00,0
2009-01-12 23:00:00,0
2009-01-15 23:00:00,0
2009-01-18 23:00:00,0
2009-01-21 23:00:00,0
2009-01-24 23:00:00,0
2009-01-27 23:00:00,0
2009-01-30 23:00:00,0
2009-02-02 23:00:00,0
2009-02-05 23:00:00,0
2009-02-08 23:00:00,0
2009-02-11 23:00:00,0
2009-02-14 23:00:00,0
2009-02-17 23:00:00,0
2009-02-20 23:00:00,0
2009-02-23 23:00:00,0
2009-02-26 23:00:00,0
2009-03-01 23:00:00,0
2009-03-04 23:00:00,0
2009-03-07 23:00:00,0
2009-03-10 23:00:00,0
2009-03-13 23:00:00,0
2009-03-16 23:00:00,0
2009-03-19 23:00:00,0
2009-03-22 23:00:00,0
2009-03-25 23:00:00,0
2009-03-28 23:00:00,0
2009-04-01 00:00:00,0
2009-04-04 00:00:00,0
2009-04-07 00:00:00,0
2009-04-10 00:00:00,0
2009-04-13 00:00:00,0
2009-04-16 00:00:00,0
2009-04-19 00:00:00,0
2009-04-22 00:00:00,0
2009-04-25 00:00:00,0
2009-04-28 00:00:00,0
2009-05-01 00:00:00,0
2009-05-04 00:00:00,0
2009-05-07 00:00:00,0
2009-05-10 00:00:00,0
2009-05-13 00:00:00,0
2009-05-16 00:00:00,0
2009-05-19 00:00:00,0
2009-05-22 00:00:00,0
2009-05-25 00:00:00,0
2009-05-28 00:00:00,0
2009-05-31 00:00:00,0
2009-06-03 00:00:00,0
2009-06-06 00:00:00,0
2009-06-09 00:00:00,0
2009-06-12 00:00:00,0
2009-06-15 00:00:00,0
2009-06-18 00:00:00,0
2009-06-21 00:00:00,0
2009-06-24 00:00:00,0
2009-06-27 00:00:00,0
2009-06-30 00:00:00,0
2009-07-03 00:00:00,0
2009-07-06 00:00:00,0
2009-07-09 00:00:00,0
2009-07-12 00:00:00,0
2009-07-15 00:00:00,0
2009-07-18 00:00:00,0
2009-07-21 00:00:00,0
2009-07-24 00:00:00,0
2009-07-27 00:00:00,0
2009-07-30 00:00:00,0
2009-08-02 00:00:00,0
2009-08-05 00:00:00,0
2009-08-08 00:00:00,0
2009-08-11 00:00:00,0
2009-08-14 00:00:00,0
2009-08-17 00:00:00,0
2009-08-20 00:00:00,0
2009-08-23 00:00:00,0
2009-08-26 00:00:00,0
2009-08-29 00:00:00,0
2009-09-01 00:00:00,0
2009-09-04 00:00:00,0
2009-09-07 00:00:00,0
2009-09-10 00:00:00,0
2009-09-13 00:00:00,0
2009-09-16 00:00:00,0
2009-09-19 00:00:00,0
2009-09-22 00:00:00,0
2009-09-25 00:00:00,0
2009-09-28 00:00:00,0
2009-10-01 00:00:00,0
2009-10-04 00:00:00,0
2009-10-07 00:00:00,0
2009-10-10 00:00:00,0
2009-10-13 00:00:00,0
2009-10-16 00:00:00,0
2009-10-19 00:00:00,0
2009-10-22 00:00:00,0
2009-10-25 00:00:00,0
2009-10-27 23:00:00,0
2009-10-30 23:00:00,0
2009-11-02 23:00:00,0
2009-11-05 23:00:00,0
2009-11-08 23:00:00,0
2009-11-11 23:00:00,0
2009-11-14 23:00:00,0
2009-11-17 23:00:00,0
2009-11-20 23:00:00,0
2009-11-23 23:00:00,0
2009-11-26 23:00:00,0
2009-11-29 23:00:00,0
2009-12-02 23:00:00,0
2009-12-05 23:00:00,0
2009-12-08 23:00:00,0
2009-12-11 23:00:00,0
2009-12-14 23:00:00,0
2009-12-17 23:00:00,0
2009-12-20 23:00:00,0
2009-12-23 23:00:00,0
2009-12-26 23:00:00,0
2009-12-29 23:00:00,0
2010-01-01 23:00:00,0
2010-01-04 23:00:00,0
2010-01-07 23:00:00,0
2010-01-10 23:00:00,0
2010-01-13 23:00:00,0
2010-01-16 23:00:00,0
2010-01-19 23:00:00,0
2010-01-22 23:00:00,0
2010-01-25 23:00:00,0
2010-01-28 23:00:00,0
2010-01-31 23:00:00,0
2010-02-03 23:00:00,0
2010-02-06 23:00:00,0
2010-02-09 23:00:00,0
2010-02-12 23:00:00,0
2010-02-15 23:00:00,0
2010-02-18 23:00:00,0
2010-02-21 23:00:00,0
2010-02-24 23:00:00,0
2010-02-27 23:00:00,0
2010-03-02 23:00:00,0
2010-03-05 23:00:00,0
2010-03-08 23:00:00,0
2010-03-11 23:00:00,0
2010-03-14 23:00:00,0
2010-03-17 23:00:00,0
2010-03-20 23:00:00,0
2010-03-23 23:00:00,0
2010-03-26 23:00:00,0
2010-03-30 00:00:00,0
2010-04-02 00:00:00,0
2010-04-05 00:00:00,0
2010-04-08 00:00:00,0
2010-04-11 00:00:00,0
2010-04-14 00:00:00,0
2010-04-17 00:00:00,0
2010-04-20 00:00:00,0
2010-04-23 00:00:00,0
2010-04-26 00:00:00,0
2010-04-29 00:00:00,0
2010-05-02 00:00:00,0
2010-05-05 00:00:00,0
2010-05-08 00:00:00,0
2010-05-11 00:00:00,0
2010-05-14 00:00:00,0
2010-05-17 00:00:00,0
2010-05-20 00:00:00,0
2010-05-23 00:00:00,0
2010-05-26 00:00:00,0
2010-05-29 00:00:00,0
2010-06-01 00:00:00,0
2010-06-04 00:00:00,0
2010-06-07 00:00:00,0
2010-06-10 00:00:00,0
2010-06-13 00:00:00,0
2010-06-16 00:00:00,0
2010-06-19 00:00:00,0
2010-06-22 00:00:00,0
2010-06-25 00:00:00,0
2010-06-28 00:00:00,0
2010-07-01 00:00:00,0
2010-07-04 00:00:00,0
2010-07-07 00:00:00,0
2010-07-10 00:00:00,0
2010-07-13 00:00:00,0
2010-07-16 00:00:00,0
2010-07-19 00:00:00,0
2010-07-22 00:00:00,0
2010-07-25 00:00:00,0
2010-07-28 00:00:00,0
2010-07-31 00:00:00,0
2010-08-03 00:00:00,0
2010-08-06 00:00:00,0
2010-08-09 00:00:00,0
2010-08-12 00:00:00,0
2010-08-15 00:00:00,0
2010-08-18 00:00:00,0
2010-08-21 00:00:00,0
2010-08-24 00:00:00,0
2010-08-27 00:00:00,0
2010-08-30 00:00:00,0
2010-09-02 00:00:00,0
2010-09-05 00:00:00,0
2010-09-08 00:00:00,0
2010-09-11 00:00:00,0
2010-09-14 00:00:00,0
2010-09-17 00:00:00,0
2010-09-20 00:00:00,0
2010-09-23 00:00:00,0
2010-09-26 00:00:00,0
2010-09-29 00:00:00,0
2010-10-02 00:00:00,0
2010-10-05 00:00:00,0
2010-10-08 00:00:00,0
2010-10-11 00:00:00,0
2010-10-14 00:00:00,0
2010-10-17 00:00:00,0
2010-10-20 00:00:00,0
2010-10-23 00:00:00,0
2010-10-26 00:00:00,0
2010-10-29 00:00:00,0
2010-10-31 23:00:00,0
2010-11-03 23:00:00,0
2010-11-06 23:00:00,0
2010-11-09 23:00:00,0
2010-11-12 23:00:00,0
2010-11-15 23:00:00,0
2010-11-18 23:00:00,0
2010-11-21 23:00:00,0
2010-11-24 23:00:00,0
2010-11-27 23:00:00,0
2010-11-30 23:00:00,0
2010-12-03 23:00:00,0
2010-12-06 23:00:00,0
2010-12-09 23:00:00,0
2010-12-12 23:00:00,0
2010-12-15 23:00:00,0
2010-12-18 23:00:00,0
2010-12-21 23:00:00,0
2010-12-24 23:00:00,0
2010-12-27 23:00:00,0
2010-12-30 23:00:00,0
2011-01-02 23:00:00,0
2011-01-05 23:00:00,0
2011-01-08 23:00:00,0
2011-01-11 23:00:00,0
2011-01-14 23:00:00,0
2011-01-17 23:00:00,0
2011-01-20 23:00:00,0
2011-01-23 23:00:00,0
2011-01-26 23:00:00,0
2011-01-29 23:00:00,0
2011-02-01 23:00:00,0
2011-02-04 23:00:00,0
2011-02-07 23:00:00,0
2011-02-10 23:00:00,0
2011-02-13 23:00:00,0
2011-02-16 23:00:00,0
2011-02-19 23:00:00,0
2011-02-22 23:00:00,0
2011-02-25 23:00:00,0
2011-02-28 23:00:00,0
2011-03-03 23:00:00,0
2011-03-06 23:00:00,0
2011-03-09 23:00:00,0
2011-03-12 23:00:00,0
2011-03-15 23:00:00,0
2011-03-18 23:00:00,0
2011-03-21 23:00:00,0
2011-03-24 23:00:00,0
2011-03-28 00:00:00,0
2011-03-31 00:00:00,0
2011-04-03 00:00:00,0
2011-04-06 00:00:00,0
2011-04-09 00:00:00,0
2011-04-12 00:00:00,0
2011-04-15 00:00:00,0
2011-04-18 00:00:00,0
2011-04-21 00:00:00,0
2011-04-24 00:00:00,0
2011-04-27 00:00:00,0
2011-04-30 00:00:00,0
2011-05-03 00:00:00,0
2011-05-06 00:00:00,0
2011-05-09 00:00:00,0
2011-05-12 00:00:00,0
2011-05-15 00:00:00,0
2011-05-18 00:00:00,0
2011-05-21 00:00:00,0
2011-05-24 00:00:00,0
2011-05-27 00:00:00,0
2011-05-30 00:00:00,0
2011-06-02 00:00:00,0
2011-06-05 00:00:00,0
2011-06-08 00:00:00,0
2011-06-11 00:00:00,0
2011-06-14 00:00:00,0
2011-06-17 00:00:00,0
2011-06-20 00:00:00,0
2011-06-23 00:00:00,0
2011-06-26 00:00:00,0
2011-06-29 00:00:00,0
2011-07-02 00:00:00,0
2011-07-05 00:00:00,0
2011-07-08 00:00:00,0
2011-07-11 00:00:00,0
2011-07-14 00:00:00,0
2011-07-17 00:00:00,0
2011-07-20 00:00:00,0
2011-07-23 00:00:00,0
2011-07-26 00:00:00,0
2011-07-29 00:00:00,0
2011-08-01 00:00:00,0
2011-08-04 00:00:00,0
2011-08-07 00:00:00,0
2011-08-10 00:00:00,0
2011-08-13 00:00:00,0
2011-08-16 00:00:00,0
2011-08-19 00:00:00,0
2011-08-22 00:00:00,0
2011-08-25 00:00:00,0
2011-08-28 00:00:00,0
2011-08-31 00:00:00,0
2011-09-03 00:00:00,0
2011-09-06 00:00:00,0
2011-09-09 00:00:00,0
2011-09-12 00:00:00,0
2011-09-15 00:00:00,0
2011-09-18 00:00:00,0
2011-09-21 00:00:00,0
2011-09-24 00:00:00,0
2011-09-27 00:00:00,0
2011-09-30 00:00:00,0
2011-10-03 00:00:00,0
2011-10-06 00:00:00,0
2011-10-09 00:00:00,0
2011-10-12 00:00:00,0
2011-10-15 00:00:00,0
2011-10-18 00:00:00,0
2011-10-21 00:00:00,0
2011-10-24 00:00:00,0
2011-10-27 00:00:00,0
2011-10-30 00:00:00,0
2011-11-01 23:00:00,0
2011-11-04 23:00:00,0
2011-11-07 23:00:00,0
2011-11-10 23:00:00,0
2011-11-13 23:00:00,0
2011-11-16 23:00:00,0
2011-11-19 23:00:00,0
2011-11-22 23:00:00,0
2011-11-25 23:00:00,0
2011-11-28 23:00:00,0
2011-12-01 23:00:00,0
2011-12-04 23:00:00,5.695238095238101
2011-12-07 23:00:00,11.773809523809529
2011-12-10 23:00:00,13.840476190476197
2011-12-13 23:00:00,13.116666666666669
2011-12-16 23:00:00,14.076190476190467
2011-12-19 23:00:00,14.152380952380943
2011-12-22 23:00:00,13.270238095238087
2011-12-25 23:00:00,14.298809523809513
2011-12-28 23:00:00,13.785714285714272
2011-12-31 23:00:00,13.471428571428557
2012-01-03 23:00:00,14.16190476190477
2012-01-06 23:00:00,13.461904761904771
2012-01-09 23:00:00,12.923809523809542
2012-01-12 23:00:00,12.740476190476198
2012-01-15 23:00:00,13.214285714285712
2012-01-18 23:00:00,13.126190476190455
2012-01-21 23:00:00,12.759523809523811
2012-01-24 23:00:00,13.052380952380956
2012-01-27 23:00:00,13.199999999999985
2012-01-30 23:00:00,12.814285714285697
2012-02-02 23:00:00,12.926190476190454
2012-02-05 23:00:00,13.330952380952356
2012-02-08 23:00:00,13.64047619047617
2012-02-11 23:00:00,13.592857142857142
2012-02-14 23:00:00,11.923809523809522
2012-02-17 23:00:00,11.742857142857138
2012-02-20 23:00:00,12.066666666666652
2012-02-23 23:00:00,12.938095238095226
2012-02-26 23:00:00,11.814285714285713
2012-02-29 23:00:00,9.792857142857146
2012-03-03 23:00:00,9.577380952380954
2012-03-06 23:00:00,9.032142857142857
2012-03-09 23:00:00,9.377380952380959
2012-03-12 23:00:00,9.8607142857143
2012-03-15 23:00:00,10.163095238095242
2012-03-18 23:00:00,9.411904761904754
2012-03-21 23:00:00,9.25119047619047
2012-03-24 23:00:00,9.024999999999991
2012-03-28 00:00:00,8.89166666666666
2012-03-31 00:00:00,8.740476190476189
2012-04-03 00:00:00,9.191666666666668
2012-04-06 00:00:00,9.576190476190476
2012-04-09 00:00:00,10.214285714285717
2012-04-12 00:00:00,9.45476190476191
2012-04-15 00:00:00,9.491666666666656
2012-04-18 00:00:00,10.070238095238084
2012-04-21 00:00:00,9.66428571428571
2012-04-24 00:00:00,9.301190476190472
2012-04-27 00:00:00,10.735714285714286
2012-04-30 00:00:00,10.816666666666668
2012-05-03 00:00:00,11.264285714285714
2012-05-06 00:00:00,9.802380952380952
2012-05-09 00:00:00,9.52380952380953
2012-05-12 00:00:00,10.16547619047619
2012-05-15 00:00:00,10.527380952380957
2012-05-18 00:00:00,12.180952380952386
2012-05-21 00:00:00,12.050000000000008
2012-05-24 00:00:00,12.611904761904766
2012-05-27 00:00:00,13.911904761904777
2012-05-30 00:00:00,13.152380952380962
2012-06-02 00:00:00,11.711904761904789
2012-06-05 00:00:00,12.177380952380974
2012-06-08 00:00:00,12.733333333333343
2012-06-11 00:00:00,13.295238095238119
2012-06-14 00:00:00,15.170238095238123
2012-06-17 00:00:00,22.176190476190477
2012-06-20 00:00:00,22.97380952380951
2012-06-23 00:00:00,16.425000000000015
2012-06-26 00:00:00,14.598809523809544
2012-06-29 00:00:00,13.823809523809544
2012-07-02 00:00:00,14.534523809523831
2012-07-05 00:00:00,13.698809523809544
2012-07-08 00:00:00,13.06309523809526
2012-07-11 00:00:00,13.097619047619077
2012-07-14 00:00:00,13.514285714285748
2012-07-17 00:00:00,14.996428571428606
2012-07-20 00:00:00,14.020238095238117
2012-07-23 00:00:00,13.91190476190476
2012-07-26 00:00:00,13.130952380952374
2012-07-29 00:00:00,11.850000000000005
2012-08-01 00:00:00,13.751190476190505
2012-08-04 00:00:00,14.301190476190502
2012-08-07 00:00:00,15.421428571428603
2012-08-10 00:00:00,13.041666666666687
2012-08-13 00:00:00,12.646428571428586
2012-08-16 00:00:00,12.8261904761905
2012-08-19 00:00:00,14.411904761904802
2012-08-22 00:00:00,13.535714285714317
2012-08-25 00:00:00,12.007142857142878
2012-08-28 00:00:00,12.045238095238103
2012-08-31 00:00:00,12.328571428571442
2012-09-03 00:00:00,11.261904761904772
2012-09-06 00:00:00,11.257142857142881
2012-09-09 00:00:00,10.869047619047633
2012-09-12 00:00:00,11.676190476190481
2012-09-15 00:00:00,12.65238095238097
2012-09-18 00:00:00,11.876190476190484
2012-09-21 00:00:00,11.98809523809524
2012-09-24 00:00:00,12.102380952380969
2012-09-27 00:00:00,12.241666666666683
2012-09-30 00:00:00,12.339285714285726
2012-10-03 00:00:00,12.515476190476212
2012-10-06 00:00:00,12.942857142857168
2012-10-09 00:00:00,12.630952380952397
2012-10-12 00:00:00,12.601190476190483
2012-10-15 00:00:00,12.34523809523811
2012-10-18 00:00:00,12.292857142857153
2012-10-21 00:00:00,12.045238095238094
2012-10-24 00:00:00,12.388095238095252
2012-10-27 00:00:00,11.820238095238098
2012-10-29 23:00:00,11.096428571428579
2012-11-01 23:00:00,11.228571428571437
2012-11-04 23:00:00,13.27023809523811
2012-11-07 23:00:00,13.154761904761909
2012-11-10 23:00:00,11.59285714285714
2012-11-13 23:00:00,11.944047619047625
2012-11-16 23:00:00,12.510714285714299
2012-11-19 23:00:00,12.73809523809526
2012-11-22 23:00:00,12.314285714285733
2012-11-25 23:00:00,13.064285714285734
2012-11-28 23:00:00,12.216666666666677
2012-12-01 23:00:00,11.680952380952393
2012-12-04 23:00:00,12
2012-12-07 23:00:00,12.590476190476185
2012-12-10 23:00:00,13.52857142857142
2012-12-13 23:00:00,12.340476190476192
2012-12-16 23:00:00,13.578571428571435
2012-12-19 23:00:00,13.509523809523827
2012-12-22 23:00:00,12.58928571428574
2012-12-25 23:00:00,11.47500000000001
2012-12-28 23:00:00,10.707142857142864
2012-12-31 23:00:00,10.300000000000015
2013-01-03 23:00:00,9.79761904761905
2013-01-06 23:00:00,9.63809523809523
2013-01-09 23:00:00,9.90714285714286
2013-01-12 23:00:00,10.404761904761909
2013-01-15 23:00:00,11.392857142857158
2013-01-18 23:00:00,11.898809523809534
2013-01-21 23:00:00,10.922619047619053
2013-01-24 23:00:00,10.404761904761898
2013-01-27 23:00:00,10.069047619047609
2013-01-30 23:00:00,9.571428571428571
2013-02-02 23:00:00,8.695238095238098
2013-02-05 23:00:00,8.766666666666671
2013-02-08 23:00:00,9.519047619047624
2013-02-11 23:00:00,9.888095238095241
2013-02-14 23:00:00,9.900000000000004
2013-02-17 23:00:00,8.685714285714296
2013-02-20 23:00:00,8.066666666666675
2013-02-23 23:00:00,8.40714285714286
2013-02-26 23:00:00,8.261904761904766
2013-03-01 23:00:00,7.897619047619057
2013-03-04 23:00:00,8.135714285714295
2013-03-07 23:00:00,8.583333333333345
2013-03-10 23:00:00,8.785714285714297
2013-03-13 23:00:00,9.32619047619049
2013-03-16 23:00:00,8.419047619047634
2013-03-19 23:00:00,7.314285714285723
2013-03-22 23:00:00,6.292857142857152
2013-03-25 23:00:00,6.097619047619056
2013-03-28 23:00:00,6.802380952380963
2013-04-01 00:00:00,7.457142857142868
2013-04-04 00:00:00,6.888095238095248
2013-04-07 00:00:00,6.957142857142865
2013-04-10 00:00:00,7.06190476190477
2013-04-13 00:00:00,6.985714285714295
2013-04-16 00:00:00,7.388095238095247
2013-04-19 00:00:00,7.471428571428581
2013-04-22 00:00:00,7.711904761904772
2013-04-25 00:00:00,7.771428571428582
2013-04-28 00:00:00,7.057142857142866
2013-05-01 00:00:00,7.109523809523819
2013-05-04 00:00:00,7.704761904761916
2013-05-07 00:00:00,7.714285714285722
2013-05-10 00:00:00,7.397619047619054
2013-05-13 00:00:00,6.897619047619054
2013-05-16 00:00:00,7.178571428571437
2013-05-19 00:00:00,7.653571428571438
2013-05-22 00:00:00,8.22500000000001
2013-05-25 00:00:00,8.301190476190484
2013-05-28 00:00:00,8.15238095238096
2013-05-31 00:00:00,7.9857142857142955
2013-06-03 00:00:00,7.328571428571438
2013-06-06 00:00:00,6.7166666666666766
2013-06-09 00:00:00,6.895238095238106
2013-06-12 00:00:00,7.242857142857154
2013-06-15 00:00:00,6.966666666666678
2013-06-18 00:00:00,7.009523809523821
2013-06-21 00:00:00,8.735714285714302
2013-06-24 00:00:00,9.366666666666683
2013-06-27 00:00:00,8.85952380952382
2013-06-30 00:00:00,8.40238095238096
2013-07-03 00:00:00,8.211904761904773
2013-07-06 00:00:00,8.014285714285725
2013-07-09 00:00:00,7.328571428571437
2013-07-12 00:00:00,6.928571428571438
2013-07-15 00:00:00,7.628571428571438
2013-07-18 00:00:00,8.05952380952382
2013-07-21 00:00:00,7.464285714285728
2013-07-24 00:00:00,7.421428571428583
2013-07-27 00:00:00,7.840476190476202
2013-07-30 00:00:00,8.23809523809525
2013-08-02 00:00:00,7.17857142857144
2013-08-05 00:00:00,6.7904761904762
2013-08-08 00:00:00,6.5904761904762
2013-08-11 00:00:00,6.283333333333344
2013-08-14 00:00:00,5.85952380952382
2013-08-17 00:00:00,6.430952380952393
2013-08-20 00:00:00,6.859523809523821
2013-08-23 00:00:00,6.245238095238106
2013-08-26 00:00:00,6.354761904761915
2013-08-29 00:00:00,6.85000000000001
2013-09-01 00:00:00,7.0428571428571525
2013-09-04 00:00:00,5.957142857142867
2013-09-07 00:00:00,6.011904761904771
2013-09-10 00:00:00,6.816666666666676
2013-09-13 00:00:00,6.545238095238105
2013-09-16 00:00:00,6.00000000000001
2013-09-19 00:00:00,6.6190476190476275
2013-09-22 00:00:00,6.866666666666676
2013-09-25 00:00:00,6.285714285714296
2013-09-28 00:00:00,6.226190476190488
2013-10-01 00:00:00,6.654761904761917
2013-10-04 00:00:00,6.700000000000011
2013-10-07 00:00:00,6.357142857142867
2013-10-10 00:00:00,6.490476190476203
2013-10-13 00:00:00,6.371428571428583
2013-10-16 00:00:00,5.607142857142869
2013-10-19 00:00:00,5.545238095238107
2013-10-22 00:00:00,5.821428571428583
2013-10-25 00:00:00,5.804761904761917
2013-10-27 23:00:00,6.045238095238106
2013-10-30 23:00:00,6.430952380952389
2013-11-02 23:00:00,6.41190476190477
2013-11-05 23:00:00,6.20000000000001
2013-11-08 23:00:00,7.335714285714291
2013-11-11 23:00:00,7.759523809523815
2013-11-14 23:00:00,7.445238095238101
2013-11-17 23:00:00,7.064285714285726
2013-11-20 23:00:00,8.369047619047624
2013-11-23 23:00:00,8.857142857142858
2013-11-26 23:00:00,8.180952380952386
2013-11-29 23:00:00,7.716666666666675
2013-12-02 23:00:00,7.983333333333341
2013-12-05 23:00:00,7.833333333333342
2013-12-08 23:00:00,7.569047619047629
2013-12-11 23:00:00,6.992857142857153
2013-12-14 23:00:00,6.978571428571437
2013-12-17 23:00:00,6.997619047619054
2013-12-20 23:00:00,6.416666666666674
2013-12-23 23:00:00,7.157142857142866
2013-12-26 23:00:00,7.578571428571436
2013-12-29 23:00:00,7.773809523809533
2014-01-01 23:00:00,7.352380952380963
2014-01-04 23:00:00,8.059523809523819
2014-01-07 23:00:00,7.873809523809533
2014-01-10 23:00:00,7.288095238095247
2014-01-13 23:00:00,6.5166666666666755
2014-01-16 23:00:00,6.707142857142865
2014-01-19 23:00:00,7.290476190476198
2014-01-22 23:00:00,7.300000000000006
2014-01-25 23:00:00,7.709523809523816
2014-01-28 23:00:00,8.454761904761911
2014-01-31 23:00:00,8.454761904761911
2014-02-03 23:00:00,7.683333333333342
2014-02-06 23:00:00,7.452380952380961
2014-02-09 23:00:00,7.830952380952388
2014-02-12 23:00:00,7.797619047619052
2014-02-15 23:00:00,7.571428571428576
2014-02-18 23:00:00,7.552380952380957
2014-02-21 23:00:00,7.72380952380953
2014-02-24 23:00:00,7.792857142857151
2014-02-27 23:00:00,7.664285714285723
2014-03-02 23:00:00,7.904761904761911
2014-03-05 23:00:00,8.628571428571435
2014-03-08 23:00:00,8.24285714285715
2014-03-11 23:00:00,7.60238095238096
2014-03-14 23:00:00,9.542857142857155
2014-03-17 23:00:00,11.752380952380966
2014-03-20 23:00:00,10.497619047619054
2014-03-23 23:00:00,7.9547619047619165
2014-03-26 23:00:00,7.390476190476201
2014-03-29 23:00:00,7.411904761904772
2014-04-02 00:00:00,7.585714285714295
2014-04-05 00:00:00,6.885714285714294
2014-04-08 00:00:00,7.147619047619054
2014-04-11 00:00:00,7.704761904761914
2014-04-14 00:00:00,8.023809523809533
2014-04-17 00:00:00,7.561904761904769
2014-04-20 00:00:00,7.666666666666671
2014-04-23 00:00:00,8.150000000000006
2014-04-26 00:00:00,8.088095238095246
2014-04-29 00:00:00,8.0404761904762
2014-05-02 00:00:00,7.761904761904772
2014-05-05 00:00:00,7.697619047619058
2014-05-08 00:00:00,7.688095238095246
2014-05-11 00:00:00,7.621428571428579
2014-05-14 00:00:00,7.566666666666674
2014-05-17 00:00:00,7.202380952380961
2014-05-20 00:00:00,6.997619047619055
2014-05-23 00:00:00,6.84285714285715
